season,team1,team2,result,winner
2012,Rajasthan Royals,Kings XI Punjab,normal,Rajasthan Royals
2012,Chennai Super Kings,Mumbai Indians,normal,Mumbai Indians
2012,Deccan Chargers,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2012,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2012,Pune Warriors,Rajasthan Royals,normal,Rajasthan Royals
2012,Kings XI Punjab,Deccan Chargers,normal,Kings XI Punjab
2012,Mumbai Indians,Royal Challengers Bangalore,normal,Royal Challengers Bangalore
2012,Rajasthan Royals,Chennai Super Kings,normal,Chennai Super Kings
2012,Royal Challengers Bangalore,Pune Warriors,normal,Royal Challengers Bangalore
2012,Mumbai Indians,Kolkata Knight Riders,normal,Mumbai Indians
2012,Delhi Daredevils,Chennai Super Kings,normal,Chennai Super Kings
2012,Rajasthan Royals,Pune Warriors,normal,Rajasthan Royals
2012,Deccan Chargers,Kings XI Punjab,normal,Kings XI Punjab
2012,Royal Challengers Bangalore,Mumbai Indians,normal,Mumbai Indians
2012,Kolkata Knight Riders,Chennai Super Kings,normal,Chennai Super Kings
2012,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2012,Kolkata Knight Riders,Mumbai Indians,normal,Kolkata Knight Riders
2012,Chennai Super Kings,Kings XI Punjab,normal,Kings XI Punjab
2012,Royal Challengers Bangalore,Delhi Daredevils,normal,Royal Challengers Bangalore
2012,Rajasthan Royals,Deccan Chargers,normal,Deccan Chargers
2012,Kings XI Punjab,Delhi Daredevils,normal,Delhi Daredevils
2012,Kolkata Knight Riders,Pune Warriors,normal,Kolkata Knight Riders
2012,Deccan Chargers,Royal Challengers Bangalore,normal,Deccan Chargers
2012,Rajasthan Royals,Mumbai Indians,normal,Mumbai Indians
2012,Kolkata Knight Riders,Delhi Daredevils,normal,Kolkata Knight Riders
2012,Chennai Super Kings,Mumbai Indians,normal,Chennai Super Kings
2012,Chennai Super Kings,Delhi Daredevils,normal,Chennai Super Kings
2012,Chennai Super Kings,Kolkata Knight Riders,normal,Kolkata Knight Riders
2013,Delhi Daredevils,Kolkata Knight Riders,normal,Kolkata Knight Riders
2013,Royal Challengers Bangalore,Mumbai Indians,normal,Royal Challengers Bangalore
